,original_index,context_translated,question_translated,text_translated
0,16000,"රෝමය දෙවිවරුන්ගේ අනුග්‍රහය ප්‍රකාශ කළාක් මෙන්, සමහර රෝමවරුද එසේ කළහ. රිපබ්ලිකන් යුගයේ මැද භාගයේ සිට අග භාගය දක්වා සහ බොහෝ කලකට පෙර රෝමයේ ප්‍රමුඛ පෙළේ ගෝත්‍රිකයන් බොහෝ දෙනෙක් දිව්‍යමය හෝ අර්ධ දිව්‍යමය මුතුන් මිත්තෙකු පිළිගෙන ඔවුන්ගේ අනුග්‍රහය හා නිකායට පෞද්ගලික හිමිකම් පෑමක් කළ අතර ඔවුන්ගේ දේවත්වයේ කොටසක් ද වූහ. වඩාත් කැපී පෙනෙන ලෙස ජනරජයේ ජුලී සිකුරු ජෙනෙට්‍රික්ස් මුතුන් මිත්තෙකු ලෙස ප්‍රකාශ කළේය; මෙය අධිරාජ්‍ය නිකායේ බොහෝ පදනම් වලින් එකක් වනු ඇත. වර්ජිල්ගේ කාව්‍යමය, අධිරාජ්‍යවාදී දැක්ම තුළ මෙම ප්‍රකාශය තවදුරටත් විස්තාරණය කර යුක්ති සහගත විය. වර්ජිල්ගේ කාව්‍යමය, අධිරාජ්‍යවාදී දැක්ම තුළ මෙම ප්‍රකාශය තවදුරටත් විස්තාරණය කර යුක්ති සහගත විය.",දේව සම්බන්ධතා පිළිබඳ එවැනි ආරම්භය ආරම්භ වූයේ කුමක් ද?,අධිරාජ්‍ය සංස්කෘතිය
1,16001,"බර්මියුඩාව යනු අක්වෙරළ මූල්‍ය මධ්‍යස්ථානයක් වන අතර එහි ප්‍රති business ලය වන්නේ ව්‍යාපාර නියාමනය / නීති පිළිබඳ අවම ප්‍රමිතීන් සහ පුද්ගලික හෝ ආයතනික ආදායම මත tax ජු බදු පැනවීමයි. එය ලෝකයේ ඉහළම පරිභෝජන බද්දක් වන අතර ආදායම් බදු ක්‍රමයක් වෙනුවට සියලුම ආනයන සඳහා බදු අය කරයි. බර්මියුඩාස්ගේ පරිභෝජන බද්ද ප්‍රාදේශීය වැසියන්ට දේශීය ආදායම් බද්දට සමාන වන අතර රජයේ සහ යටිතල පහසුකම් වියදම් සඳහා අරමුදල් සපයයි. දේශීය බදු ක්‍රමය රඳා පවතින්නේ ආනයන බදු, වැටුප් බදු සහ පරිභෝජන බදු මත ය. නීති පද්ධතිය ව්‍යුත්පන්න වී ඇත්තේ එක්සත් රාජධානියේ සිට ය. විදේශීය පෞද්ගලික පුද්ගලයින්ට පහසුවෙන් බැංකු ගිණුම් විවෘත කිරීමට හෝ ජංගම දුරකථන හෝ අන්තර්ජාල සේවාවලට දායක විය නොහැක. විදේශීය පෞද්ගලික පුද්ගලයින්ට පහසුවෙන් බැංකු ගිණුම් විවෘත කිරීමට හෝ ජංගම දුරකථන හෝ අන්තර්ජාල සේවාවලට දායක විය නොහැක.",බර්මියුඩාව පරිභෝජන බද්ද භාවිතා කරන්නේ කුමක් සඳහාද?,රජයේ සහ යටිතල පහසුකම් වියදම් සඳහා අරමුදල් සපයයි
2,16002,ආර්ථික තත්වයන් සහ 2000 දශකයේ අග අවපාතය හේතුවෙන් යෝජිත මෙගා කැසිනෝ බොහෝමයක් ආරම්භක සැලසුම් අදියරවලට වඩා ඉදිරියට ගියේ නැත. මෙම සංවර්ධකයින්ගෙන් එක් අයෙකු වූයේ 2006 නොවැම්බර් 11 වන දින සැන්ඩ්ස් අත්ලාන්තික් නගරය ස්ථිරවම වසා දැමීමට පයින්කල් එන්ටර්ටේන්මන්ට් ය. ඊළඟ වසරේදී අත්ලාන්තික් නගරයේ ලාස් වේගාස් විලාසිතාවේ පුපුරා යාමෙන් නිවාඩු නිකේතනය කඩා බිඳ දමන ලදී. . පින්නකල් එන්ටර්ටේන්මන්ට් විසින් එය ඩොලර් බිලියන 1.5–2 අතර කැසිනෝ නිකේතනයක් මගින් ප්‍රතිස්ථාපනය කිරීමට අදහස් කළ අතර සමාගම එහි ඉදිකිරීම් සැලසුම් අවලංගු කර ඉඩම විකිණීමට සැලසුම් කර තිබේ. ලොකුම බලාපොරොත්තු සුන්වීම වූයේ එම්ජීඑම් ග්‍රෑන්ඩ් අත්ලාන්තික් නගරය සඳහා වූ ඔවුන්ගේ සැලසුම් effectively ලදායී ලෙස අවසන් කරමින් අත්ලාන්තික් නගරය සඳහා වන සියලු සංවර්ධනයෙන් ඉවත් වන බව එම්ජීඑම් රිසෝර්ට්ස් ඉන්ටර්නැෂනල් නිවේදනය කිරීමත් සමඟ ය. ආර්ථික තත්වයන් සහ 2000 දශකයේ අග අවපාතය හේතුවෙන් යෝජිත මෙගා කැසිනෝ බොහෝමයක් ආරම්භක සැලසුම් අදියරවලට වඩා ඉදිරියට ගියේ නැත. මෙම සංවර්ධකයින්ගෙන් එක් අයෙකු වූයේ 2006 නොවැම්බර් 11 වන දින සැන්ඩ්ස් අත්ලාන්තික් නගරය ස්ථිරවම වසා දැමීමට පයින්කල් එන්ටර්ටේන්මන්ට් ය. ඊළඟ වසරේදී අත්ලාන්තික් නගරයේ ලාස් වේගාස් විලාසිතාවේ පුපුරා යාමෙන් නිවාඩු නිකේතනය කඩා බිඳ දමන ලදී. . පින්නකල් එන්ටර්ටේන්මන්ට් විසින් එය ඩොලර් බිලියන 1.5–2 අතර කැසිනෝ නිකේතනයක් මගින් ප්‍රතිස්ථාපනය කිරීමට අදහස් කළ අතර සමාගම එහි ඉදිකිරීම් සැලසුම් අවලංගු කර ඉඩම විකිණීමට සැලසුම් කර තිබේ. ලොකුම බලාපොරොත්තු සුන්වීම වූයේ එම්ජීඑම් ග්‍රෑන්ඩ් අත්ලාන්තික් නගරය සඳහා වූ ඔවුන්ගේ සැලසුම් effectively ලදායී ලෙස අවසන් කරමින් අත්ලාන්තික් නගරය සඳහා වන සියලු සංවර්ධනයෙන් ඉවත් වන බව එම්ජීඑම් රිසෝර්ට්ස් ඉන්ටර්නැෂනල් නිවේදනය කිරීමත් සමඟ ය....,සෑන්ඩ්ස් අත්ලාන්තික් නගරය ස්ථිරවම වසා දැමුවේ කවදාද?,2006 නොවැම්බර් 11
3,16003,"ඉස්ලාමීයම්ට අනුව, අල්ලාහ් තම ඉස්ලාම් දහම ව්‍යාප්ත කිරීම හා වැඩිදියුණු කිරීම සඳහා “නටාක්” (කථා කරන) නමින් හැඳින්වෙන ශ්‍රේෂ් great අනාගතවක්තෘවරුන් හත් දෙනෙකු යවා ඇත. මෙම ශ්‍රේෂ් great අනාගතවක්තෘවරුන් සියල්ලන්ටම “සහද් (නිහ ile) ඉමාම්” නමින් එක් සහායකයෙක්ද සිටී. සෑම “සමද්” සිල්සිල හතක් අවසානයේම ඉස්ලාමයේ ඩන් යලි තහවුරු කිරීම සඳහා එක් ශ්‍රේෂ් N “නටැක්” (කථිකයෙක්) බෙන් යවා ඇත. ආදම් සහ ඔහුගේ පුත් සෙත්ට පසුව සහ “නාටාක්” (කථන) හයෙන් පසු - “සමද්” (නිහ ile) සිල්සිලා (නෝවා-ෂෙම්), (ආබ්‍රහම්-ඉෂ්මායෙල්), (මෝසෙස්-ආරොන්), (ජේසු-සිමියොන්), (මුහම්මද්) බින් b අබ්ද් අල්ලාහ් - අලි ඉබ්න් අබු තාලිබ්); “නටැක්ස් සහ සමාද්වරුන්ගේ සිල්සිල (මුහම්මද් බින් ඉස්මායිල් අස්-ආගර් (මීමන්-කද්දා) - අබ් අල්ලාහ් ඉබ්නු-අයි මීමන් සහ ඔහුගේ පුතුන් සමඟ සම්පුර්ණ කර ඇත. ආදම් සහ ඔහුගේ පුත් සෙත්ට පසුව සහ “නාටාක්” (කථන) හයෙන් පසු - “සමද්” (නිහ ile) සිල්සිලා (නෝවා-ෂෙම්), (ආබ්‍රහම්-ඉෂ්මායෙල්), (මෝසෙස්-ආරොන්), (ජේසු-සිමියොන්), (මුහම්මද්) බින් b අබ්ද් අල්ලාහ් - අලි ඉබ්න් අබු තාලිබ්); “නටැක්ස් සහ සමාද්වරුන්ගේ සිල්සිල (මුහම්මද් බින් ඉස්මායිල් අස්-ආගර් (මීමන්-කද්දා) - අබ් අල්ලාහ් ඉබ්නු-අයි මීමන් සහ ඔහුගේ පුතුන් සමඟ සම්පුර්ණ කර ඇත.",මහා අනාගතවක්තෘවරුන් හත් දෙනා යනු කුමක්ද?,නටැක්
4,16004,"එක්සත් රාජධානියේ දේශපාලන ක්‍රමය, තාක්‍ෂණිකව බහු-පක්ෂ ක්‍රමයක් වන අතර, සාමාන්‍යයෙන් ක්‍රියාත්මක වන්නේ ද්වි-පක්ෂ (සමහර විට ""දෙකහමාරක පක්ෂයක්"" ලෙසිනි); 1920 ගණන්වල සිට විශාලතම දේශපාලන පක්ෂ දෙක වන්නේ කොන්සර්වේටිව් පක්ෂය සහ කම්කරු පක්ෂයයි. ලේබර් පක්ෂය බ්‍රිතාන්‍ය දේශපාලනයේ නැගී සිටීමට පෙර කොන්සර්වේටිව් පක්ෂය සමඟ අනෙක් ප්‍රධාන දේශපාලන පක්ෂය වූයේ ලිබරල් පක්ෂයයි. සභාග හා සුළුතර ආණ්ඩු වරින් වර පාර්ලිමේන්තු දේශපාලනයේ අංගයක් වී තිබුණද, මහ මැතිවරණ සඳහා භාවිතා කරන ලද පළමු-පසු-පසු මැතිවරණ ක්‍රමය මෙම පක්ෂ දෙකේ ආධිපත්‍යය පවත්වා ගැනීමට නැඹුරු වේ. පාර්ලිමේන්තුවේ වැඩ කරන බහුතරයක් ලබා දීමට. (බහුත්ව ඡන්ද ක්‍රමයක් සාමාන්‍යයෙන් මොරිස් ඩුවර්ජර් විසින් විස්තර කරන ලද සහ ඩුවර්ජර්ගේ නීතිය ලෙස හැඳින්වෙන ද්වි-පක්ෂ ක්‍රමයකට මඟ පෙන්වයි.) පාර්ලිමේන්තුවේ ආසන ගණනාවක් දරණ හෝ තබා ඇති තවත් පක්ෂ ගණනාවක් තිබේ. පාර්ලිමේන්තුවේ ආසන ගණනාවක් දරණ හෝ තබා ඇති තවත් පක්ෂ ගණනාවක් තිබේ.",ඩුවෙගර්ගේ නීතිය කුමක්ද?,බහුත්ව ඡන්ද ක්‍රමයක් සාමාන්‍යයෙන් ද්වි-පක්ෂ ක්‍රමයකට මඟ පාදයි
5,16005,"දෙවන ලෝක සංග්‍රාමයෙන් පසුව, නිදහස ලබා ගැනීමේ උත්සාහයක් ලෙස අක්ෂ බලවතුන් සමඟ යුක්‍රේනියානු සහයෝගීතාවය හේතුවෙන් මොස්කව් යුක්‍රේන භාෂාව මර්දනය කිරීම සඳහා වූ ප්‍රතිපත්තිය වෙනස් කළේය.",යුක්රේනියානුවන් අක්ෂය සමඟ සහයෝගයෙන් කටයුතු කළේ ඇයි?,නිදහස ලබා ගැනීමට
6,16006,"මිචිගන් හි බේ සිටි හි උපත ලැබූ මැඩෝනා 1977 දී නිව් යෝර්ක් නගරයට ගොස් නවීන නර්තන වෘත්තියක් හැදෑරීය. බ්‍රේක්ෆාස්ට් ක්ලබ් සහ එමී යන සංගීත කණ්ඩායම්වල රඟදැක්වීමෙන් පසු ඇය 1982 දී සයර් රෙකෝර්ඩ්ස් (වෝනර් බ්‍රදර්ස් රෙකෝර්ඩ්ස් හි සහායක ලේබලය) සමඟ අත්සන් කළ අතර ඊළඟ වසරේදී ඇයගේ ස්වයං නම් සහිත පළමු ඇල්බමය නිකුත් කළාය. ඇය එය අනුගමනය කළේ ග්‍රැමී සම්මානලාභීන් වන රේ ඔෆ් ලයිට් (1998) සහ කන්ෆෙෂන්ස් ඔන් ඩාන්ස් ෆ්ලෝර් (2005) ඇතුළු වාණිජ හා විවේචනාත්මක ඇල්බම මාලාවක් සමඟිනි. මැඩෝනා සිය වෘත්තීය කාලය පුරාම ඇගේ ගීත බොහොමයක් ලියා නිෂ්පාදනය කර ඇති අතර, ඒවායින් බොහොමයක් ""වර්ජින් මෙන්"", ""ඉන්ටූ ද ග්‍රෝව්"", ""තාත්තා දේශනා නොකරන්න"", ""ලයික් ඒ"" යාච් yer ාව "","" වෝග් "","" ශීත කළ "","" සංගීතය "","" හං අප් ""සහ"" මිනිත්තු 4 "". මැඩෝනා සිය වෘත්තීය කාලය පුරාම ඇගේ ගීත බොහොමයක් ලියා නිෂ්පාදනය කර ඇති අතර, ඒවායින් බොහොමයක් ""වර්ජින් මෙන්"", ""ඉන්ටූ ද ග්‍රෝව්"", ""තාත්තා දේශනා නොකරන්න"", ""ලයික් ඒ"" යාච් yer ාව "","" වෝග් "","" ශීත කළ "","" සංගීතය "","" හං අප් ""සහ"" මිනිත්තු 4 "".",1982 දී මැඩෝනා අත්සන් කළ වාර්තා ලේබලය කුමක්ද?,සයර් රෙකෝඩ්ස්
7,16007,"ඩීඑස්ටී හි යෝජකයින් සාමාන්‍යයෙන් තර්ක කරන්නේ එය ශක්තිය ඉතිරි කරන බවත්, සවස් වරුවේ (ගිම්හානයේදී) එළිමහන් විවේක ක්‍රියාකාරකම් ප්‍රවර්ධනය කරන බවත්, එබැවින් ශාරීරික හා මානසික සෞඛ්‍යයට යහපත් බවත්, රථවාහන අනතුරු අවම කරන බවත්, අපරාධ අඩු කරන බවත් හෝ ව්‍යාපාරයට හොඳ බවත්ය. ඩීඑස්ටී සඳහා සහයෝගය දක්වන කණ්ඩායම් වන්නේ නාගරික කම්කරුවන්, සිල්ලර ව්‍යාපාර, එළිමහන් ක්‍රීඩා ලෝලීන් සහ ව්‍යාපාර, සංචාරක ක්‍රියාකරුවන් සහ ගිම්හානයේ සවස් කාලයේ වැඩි වන ආලෝකයෙන් ප්‍රතිලාභ ලබන අයයි. ඩීඑස්ටී සඳහා සහයෝගය දක්වන කණ්ඩායම් වන්නේ නාගරික කම්කරුවන්, සිල්ලර ව්‍යාපාර, එළිමහන් ක්‍රීඩා ලෝලීන් සහ ව්‍යාපාර, සංචාරක ක්‍රියාකරුවන් සහ ගිම්හානයේ සවස් කාලයේ වැඩි වන ආලෝකයෙන් ප්‍රතිලාභ ලබන අයයි.",ඩීඑස්ටී සඳහා වැඩි කැමැත්තක් දක්වන කණ්ඩායම: නාගරික කම්කරුවන් හෝ ග්‍රාමීය ගොවීන්?,නාගරික කම්කරුවන්
8,16008,පාප්තුමාගේ සහාය ලිපි අප්රේල් මාසයේදී පැමිණි නමුත් ඒ වන විට කැරලිකාර බාරදූරයින් සංවිධානය වී තිබුණි. ඔවුන් මැයි මාසයේදී නෝර්ත්හැම්ප්ටන් හි රැස් වූ අතර ජෝන් සමඟ ඔවුන්ගේ වැඩවසම් සබඳතා අත්හැර දමා රොබට් ෆිට්ස් වෝල්ටර්ව ඔවුන්ගේ හමුදා නායකයා ලෙස පත් කළහ. මෙම ස්වයං ප්‍රකාශිත “දෙවියන්ගේ හමුදාව” අගනුවර මෙන්ම ලින්කන් සහ එක්සෙටර් ද රැගෙන ලන්ඩනයට ගමන් කළේය. මධ්‍යස්ථ හා සහනදායක ලෙස පෙනී සිටීමට ජෝන් දැරූ උත්සාහයන් බොහෝ දුරට සාර්ථක වූ නමුත් කැරලිකරුවන් ලන්ඩනය අල්ලා ගත් පසු ඔවුන් ජෝන්ගේ රාජකීය කන්ඩායමෙන් ඉවත් වූවන්ගේ නව රැල්ලක් ආකර්ෂණය කර ගත්හ. කැරලිකාර බාරකරුවන් සමඟ සාම සාකච්ඡා සංවිධානය කරන ලෙස ජෝන් ලැන්ග්ටන්ට උපදෙස් දුන්නේය. කැරලිකාර බාරකරුවන් සමඟ සාම සාකච්ඡා සංවිධානය කරන ලෙස ජෝන් ලැන්ග්ටන්ට උපදෙස් දුන්නේය.,කැරලිකාර බාරොන් නායකයා කවුද?,රොබට් ෆිට්ස් වෝල්ටර්
9,16009,"ෆාතිමිඩ් සහ මාම්ලූක් රාජවංශවල සහ ඔවුන්ගේ අනුප්‍රාප්තික රාජ්‍යයන් මධ්‍යතන යුගයේ මැදපෙරදිග පාලන සමයේදී, පාලක ප්‍රභූ පැලැන්තියේ බොහෝ දෙනෙක් වඩෆ් නමින් හැඳින්වෙන ආගමික දායාදයක් හරහා මදාරිස් ආරම්භ කළහ. මද්රාසා යනු තත්වයේ ප්‍රබල සංකේතයක් වූවා පමණක් නොව, එය ඔවුන්ගේ පරම්පරාවට ධනය හා තත්වය සම්ප්‍රේෂණය කිරීමේ means ලදායී මාධ්‍යයකි. විශේෂයෙන් මම්ලෙක් යුගයේදී, හිටපු වහලුන්ට පමණක් බලය ලබා ගත හැකි වූ විට, පාලක මැම්ලෙක් ප්‍රභූ පැලැන්තියේ පුතුන්ට උරුම කර ගැනීමට නොහැකි විය. නව මදාරිවරුන් තුළ සහතික කළ තනතුරු ඔවුන්ට තත්වය පවත්වා ගැනීමට ඉඩ සලසයි. මෙම කාල පරිච්ඡේදය තුළ ඉදිකරන ලද මදාරිස් අතර කයිරෝවේ සුල්තාන් සාසන්ගේ පල්ලිය-මද්‍රසා ඇතුළත් වේ. මෙම කාල පරිච්ඡේදය තුළ ඉදිකරන ලද මදාරිස් අතර කයිරෝවේ සුල්තාන් සාසන්ගේ පල්ලිය-මද්‍රසා ඇතුළත් වේ.",සුල්තාන් හසන්ගේ පල්ලිය-මද්‍රසා සිටියේ කුමන නගරයේද?,කයිරෝ
