,original_index,context_translated,question_translated,text_translated
0,5952,"වික්ටෝරියා පසුව ඇගේ ළමා කාලය විස්තර කළේ ""තරමක් ශෝකජනක"" ලෙසිනි. ඇගේ මව අතිශයින්ම ආරක්‍ෂිත වූ අතර වික්ටෝරියා හැදී වැඩුණේ ඊනියා ""කෙන්සිංටන් සිස්ටම්"" යටතේය. ආදිපාදවරිය සහ ඇගේ අභිලාෂකාමී හා ආධිපත්‍යය දරන කොම්පෝටර් ශ්‍රීමත් ජෝන් කොන්රෝයි විසින් නිර්මාණය කරන ලද විස්තීර්ණ නීති සහ ප්‍රොටෝකෝල සමූහයකි. ආදිපාදවරියගේ පෙම්වතා වීමට. කුමරියගේ මව සහ කොන්රෝයි නුසුදුසු යැයි සිතන (ඇගේ පියාගේ පවුලේ බොහෝ දෙනා ද ඇතුළුව) මිනිසුන් හමුවීම මෙම ක්‍රමය විසින් වළක්වන ලද අතර, ඇයව දුර්වල හා ඔවුන් මත යැපීමට සැලසුම් කර ඇත. ආදිපාදවරිය උසාවියෙන් වැළකී සිටියේ විලියම් රජුගේ අවජාතක දරුවන් සිටීම නිසා ඇය අපකීර්තියට පත්වූ නිසා විය හැකිය. සමහර විට වික්ටෝරියානු සදාචාරය ඉස්මතු වීමට හේතු වූයේ තම දියණිය ලිංගික නුසුදුසු බවක් නොපෙන්වන ලෙස අවධාරනය කරමිනි. වික්ටෝරියා සෑම රාත්‍රියකම තම මව සමඟ නිදන කාමරයක් බෙදාගෙන, පෞද්ගලික ගුරුවරුන් සමඟ නිතිපතා කාලසටහනකට පාඩම් කළ අතර, සෙල්ලම් බඩු ඇගේ බෝනික්කන් හා ඇගේ චාල්ස් රජු වන ඩෑෂ් සමඟ ගත කළාය. ඇගේ පාඩම් වලට ප්‍රංශ, ජර්මානු, ඉතාලි සහ ලතින් ඇතුළත් වූ නමුත් ඇය නිවසේ ඉංග්‍රීසි පමණක් කතා කළාය. බොහෝ විද්‍යුත් උපකරණ තඹ රැහැන් මත රඳා පවතින්නේ එහි ඉහළ විද්‍යුත් සන්නායකතාවය, ආතන්ය ශක්තිය, ductility, ක්‍රිප් (විරූපණය) ප්‍රතිරෝධය, විඛාදන ප්‍රතිරෝධය, අඩු තාප ප්‍රසාරණය, ඉහළ තාප සන්නායකතාවය, පෑස්සීමේ හැකියාව සහ පහසුව වැනි එහි ආවේණික වාසි ගුණාංග නිසාය. ස්ථාපන.",විදුලි රැහැන්වල බොහෝ විට භාවිතා කරන ලෝහය කුමක්ද?,තඹ
1,5953,"ඩෙන්මාර්කයේ සහ ජර්මානු බොහෝ දකුණු ප්‍රභේදවල, le තිහාසික හේතූන් මත ⟨b d as ලෙස පිටපත් කරන ලද “ලෙනිස්” ව්‍යාංජනාක්‍ෂර ඔවුන්ගේ බලකොටුවල සගයන්ගෙන් වෙන් කොට හඳුනාගත හැකිය.","ලෙනිස් ⟨b d are නම්, ෆෝටිස් සගයන් මොනවාද?",Tp t k⟩
2,5954,"ද්විත්ව සංසේචනය යනු ශුක්‍රාණු සෛල දෙකක් ඩිම්බකෝෂයේ සෛල සංසේචනය කරන ක්‍රියාවලියකි. මෙම ක්‍රියාවලිය ආරම්භ වන්නේ පරාග ධාන්ය පිස්ටිලයේ (ගැහැණු ප්‍රජනක ව්‍යුහය) අපකීර්තියට අනුගත වන විට, ප්‍රරෝහණය වී දිගු පරාග නලයක් වර්ධනය වන විට ය. මෙම පරාග නළය වර්ධනය වන අතර, හැප්ලොයිඩ් උත්පාදක සෛලයක් නල න්‍යෂ්ටිය පිටුපස ඇති නළයට පහළින් ගමන් කරයි. උත්පාදක සෛලය මයිටොසිස් මගින් බෙදී හැප්ලොයිඩ් (එන්) ශුක්‍රාණු සෛල දෙකක් නිපදවයි. පරාග නළය වර්ධනය වන විට, එය අපකීර්තියෙන්, ශෛලියට පහළින් සහ ඩිම්බකෝෂය කරා ගමන් කරයි. මෙහි පරාග නළය ඩිම්බකෝෂයේ මයික්‍රොපයිල් වෙත ළඟා වන අතර එහි සමෝච්ඡයන්ගෙන් එකකට ජීර්ණය වන අතර එහි අන්තර්ගතය (ශුක්‍රාණු සෛලද ඇතුළුව) නිකුත් කරයි. සෛල පරිහානියට මුදා හරින ලද සහ එක් ශුක්‍රාණුවක් බිත්තර සෛල සංසේචනය කිරීමට උපකාරී වන අතර ඩිප්ලොයිඩ් (2n) සයිගොටයක් නිපදවයි. දෙවන ශුක්‍රාණු සෛලය මධ්‍යම සෛල න්යෂ්ටීන් දෙකම සමඟ සම්මිශ්‍රණය වී ට්‍රයිප්ලොයිඩ් (3n) සෛලයක් නිපදවයි. සයිගොට් කලලයක් බවට වර්ධනය වන විට, ට්‍රයිප්ලොයිඩ් සෛලය එන්ඩොස්පර්ම් දක්වා වර්ධනය වන අතර එය කලලරූපයේ ආහාර සැපයුම ලෙස සේවය කරයි. ඩිම්බකෝෂය දැන් පළතුරු බවටත් ඩිම්බකෝෂය බීජ බවටත් වර්ධනය වේ. ඩිම්බකෝෂය දැන් පළතුරු බවටත් ඩිම්බකෝෂය බීජ බවටත් වර්ධනය වේ.",පරාග නාලය එහි ශුක්‍රාණු සෛල නිදහස් කරන්නේ කොතැනින්ද?,සමමුහුර්ත වලින් එකක්
3,5955,"මූලික වශයෙන්, බ්‍රසීලයේ ජාතිය “ජීව විද්‍යාත්මක” වූ නමුත්, පරම්පරාව (ප්‍රවේණික වර්ගය තීරණය කරන) සහ ෆීනෝටයිපික් වෙනස්කම් අතර වෙනස හඳුනාගත් ආකාරයකින්. එහිදී, වාර්ගික අනන්‍යතාවය එක්සත් ජනපදයේ මෙන් එක්-බිංදු රීතිය වැනි දෘඩ සම්භවයක් ඇති පාලනයකින් පාලනය නොවීය. බ්‍රසීලියානු දරුවෙකු කිසි විටෙකත් එක් හෝ දෙමව්පියන්ගේ වාර්ගික වර්ගයට ස්වයංක්‍රීයව හදුනා නොගත් අතර, තෝරා ගැනීමට ඇත්තේ ඉතා සීමිත කාණ්ඩ ගණනක් පමණි, පූර්ණ සහෝදර සහෝදරියන්ට විවිධ වාර්ගික කණ්ඩායම්වලට අදාළ විය හැකි ප්‍රමාණයට. බ්‍රසීලියානු දරුවෙකු කිසි විටෙකත් එක් හෝ දෙමව්පියන්ගේ වාර්ගික වර්ගයට ස්වයංක්‍රීයව හදුනා නොගත් අතර, තෝරා ගැනීමට ඇත්තේ ඉතා සීමිත කාණ්ඩ ගණනක් පමණි, පූර්ණ සහෝදර සහෝදරියන්ට විවිධ වාර්ගික කණ්ඩායම්වලට අදාළ විය හැකි ප්‍රමාණයට.",ජාතිය “ජීව විද්‍යාව” කළ රට කුමක්ද?,බ්රසීලය
4,5956,"උට්රෙක්ට් උසස් අධ්‍යාපන ආයතන කිහිපයක් සඳහා සත්කාරකත්වය සපයයි. මෙයින් වඩාත්ම කැපී පෙනෙන දෙය වන්නේ සිසුන් 30,449 ක් (2012 වන විට) නෙදර්ලන්තයේ විශාලතම විශ්ව විද්‍යාලය වන උට්‍රෙච්ට් විශ්ව විද්‍යාලය (1636) ය. විශ්ව විද්‍යාලය අර්ධ වශයෙන් පදනම් වී ඇත්තේ නගරයට නැගෙනහිරින් පිහිටි අභ්‍යන්තර නගරයේ මෙන්ම යූතොෆ් කැම්පස් ප්‍රදේශයේ ය. 2014 දී ෂැංහයි ජියාතොං විශ්ව විද්‍යාලයේ විශ්ව විද්‍යාල ශ්‍රේණිගත කිරීම්වලට අනුව එය ලොව 57 වන හොඳම විශ්ව විද්‍යාලය වේ. සිසුන් 400 ක් පමණ සිටින මානව ශාස්ත්‍රීය විශ්ව විද්‍යාලයේ වඩා කුඩා විශ්ව විද්‍යාලයක් ද උට්‍රෙච්ට් හි ඇත. සිසුන් 400 ක් පමණ සිටින මානව ශාස්ත්‍රීය විශ්ව විද්‍යාලයේ වඩා කුඩා විශ්ව විද්‍යාලයක් ද උට්‍රෙච්ට් හි ඇත.",සිසුන් 400 ක් පමණ සිටින මානව ශාස්ත්‍රීය විශ්ව විද්‍යාලයේ වඩා කුඩා විශ්ව විද්‍යාලයක් ද උට්‍රෙච්ට් හි ඇත.,සිසුන් 400 ක් පමණ සිටින මානව ශාස්ත්‍රීය විශ්ව විද්‍යාලයේ වඩා කුඩා විශ්ව විද්‍යාලයක් ද උට්‍රෙච්ට් හි ඇත.
5,5957,සිසුන් 400 ක් පමණ සිටින මානව ශාස්ත්‍රීය විශ්ව විද්‍යාලයේ වඩා කුඩා විශ්ව විද්‍යාලයක් ද උට්‍රෙච්ට් හි ඇත.... මහාචාර්ය ඩග්ලස් ස්ටුවර්ට් මෙසේ පවසයි. වර්තමාන ඉංග්‍රීසි පරිවර්තන සඳහා පදනම ලෙස සේවය කිරීම.,පරණ ගිවිසුම සියලු වෙනස්කම් අතර අත්‍යවශ්‍යයෙන්ම එක හා සමාන යැයි කියන්නේ කවුද?,මහාචාර්ය ඩග්ලස් ස්ටුවර්ට්
6,5958,"ලෞකික හා ආගමික ශෛලීන්ගෙන් සමන්විත වන අතර, මුස්ලිම්වරුන් විසින් නිර්මාණය කරන ලද මෝස්තරය සහ ශෛලිය සහ ඉස්ලාමීය සංස්කෘතියේ ගොඩනැගිලි හා ව්‍යුහයන් ඉදිකිරීම සඳහා වාස්තු විද්‍යාත්මක වර්ග ඇතුළත් වේ: පල්ලිය, සොහොන් ගෙය, මාළිගාව සහ කොටුව. ඉස්ලාමීය කලාවේ වැදගත්ම ප්‍රකාශනය ගෘහ නිර්මාණ ශිල්පයයි, විශේෂයෙන් මුස්ලිම් පල්ලිය. ඉස්ලාමීය ගෘහ නිර්මාණ ශිල්පය තුළින් ඉස්ලාමීය ශිෂ් ization ාචාරය තුළ විවිධ සංස්කෘතීන්ගේ බලපෑම විදහා දැක්විය හැකිය. පොදුවේ ගත් කල, ඉස්ලාමීය ජ්‍යාමිතික රටා සහ ශාක පත්‍ර පදනම් කරගත් අරාබි භාවිතා කිරීම කැපී පෙනේ. මුස්ලිම් පල්ලියේ ගෘහ නිර්මාණ ශිල්පයේ හරාම් (තහනම්) පින්තූර වෙනුවට අලංකාර අක්ෂර වින්‍යාසය භාවිතා කිරීම ද විය. ලෞකික ගෘහ නිර්මාණ ශිල්පයෙහි මානව හා සත්ව නියෝජනය සැබවින්ම පැවති බව සලකන්න. ලෞකික ගෘහ නිර්මාණ ශිල්පයෙහි මානව හා සත්ව නියෝජනය සැබවින්ම පැවති බව සලකන්න.",හරාම් යන්නෙහි අර්ථ දැක්වීම කුමක්ද?,තහනම්
7,5959,"නූතන ඉංග්‍රීසි මෙන් නොව පැරණි ඉංග්‍රීසි යනු රූප විද්‍යාත්මක විවිධත්වයෙන් පොහොසත් භාෂාවකි. එය එකිනෙකට වෙනස් අවස්ථා කිහිපයක් පවත්වා ගෙන යයි: නාමික, චෝදනා, ජානමය, ද්වෛතීය සහ (ගවේෂණාත්මක) උපකරණ. නූතන ඉංග්‍රීසි භාෂාවෙන් ඇති මෙම ක්‍රමයේ ඉතිරිව ඇත්තේ සර්වනාම කිහිපයක ස්වරූපයෙනි (එනම් මම / මම / මගේ, ඇය / ඇය, කවුද / කවුරුන් / කාගේද) සහ පැරණි දේවලින් උපුටා ගත් සන්තකයේ අවසානය. (පුරුෂ හා ස්නායු) ප්‍රවේණි අවසානය -es. කෙසේ වෙතත්, පැරණි ඉංග්‍රීසියෙන්, නාම පද සහ ඒවායේ වෙනස් කරන වචන ඒවායේ නඩුව අනුව සුදුසු අවසානයක් ගනී. කෙසේ වෙතත්, පැරණි ඉංග්‍රීසියෙන්, නාම පද සහ ඒවායේ වෙනස් කරන වචන ඒවායේ නඩුව අනුව සුදුසු අවසානයක් ගනී.","නාමික, ජානමය, ද්වෛතීය සහ මෙවලම් සමඟ පැරණි ඉංග්‍රීසි සතුව තිබූ නඩුව කුමක්ද?",චෝදනා
8,5960,"එක්සත් ජනපද ගුවන් හමුදා යෝග්‍යතා පරීක්ෂණය (AFFT) සැලසුම් කර ඇත්තේ USAF හි ගුවන් භටයින්ගේ උදරයේ වට ප්‍රමාණය, මාංශ පේශි ශක්තිය / විඳදරාගැනීම සහ හෘද වාහිනී ශ්වසන යෝග්‍යතාවය පරීක්ෂා කිරීම සඳහා ය. ෆිට් ටු ෆයිට් වැඩසටහනේ කොටසක් ලෙස යූඑස්ඒඑෆ් වඩාත් දැඩි ශාරීරික යෝග්‍යතා තක්සේරුවක් අනුගමනය කළේය; නව යෝග්‍යතා වැඩසටහන 2010 ජුනි 1 වන දින සිට ක්‍රියාත්මක විය. යූඑස්ඒඑෆ් විසින් වසර ගණනාවක් තිස්සේ භාවිතා කරන ලද වාර්ෂික එර්ගෝ-චක්‍රීය පරීක්ෂණය 2004 දී ප්‍රතිස්ථාපනය කරන ලදි. ඒඑෆ්එෆ්ටී හි, ගුවන් භටයින්ට සංරචක හතරකින් සමන්විත කාර්ය සාධනය මත පදනම්ව ලකුණු ලබා දෙනු ලැබේ: ඉණ වට ප්‍රමාණය, වාඩි වීම, තල්ලු කිරීම සහ සැතපුම් 1.5 (කි.මී. 2.4) ධාවනය. ගුවන් භටයින්ට ලකුණු 100 ක් උපයා ගත හැකි අතර, ධාවන ගණන 60% ක් ලෙසද, ඉණ වට ප්‍රමාණය 20% ක් ලෙසද, ශක්ති පරීක්ෂණ දෙකම 10% බැගින් ගණනය කළ හැකිය. සමත් ලකුණු ලකුණු 75 කි. 2010 ජූලි 1 වන දින සිට බලපැවැත්වෙන පරිදි AFFT පරිපාලනය කරනු ලබන්නේ මූලික යෝග්‍යතා තක්සේරු කොටුව (FAC) විසිනි. එය වසරකට දෙවරක් අවශ්‍ය වේ. ඔහු හෝ ඇය 90% ට වඩා වැඩි ලකුණු ලබා ගන්නේ නම් පිරිස් වසරකට වරක් පරීක්ෂා කළ හැකිය. මීට අමතරව, මෙම එක් එක් පරීක්ෂණයෙහි අවම ප්‍රමිතීන් සපුරාලීමෙන් පමණක් ඔබට 75% ක සාමාර්ථයක් නොලැබෙන අතර ඕනෑම එක් අංගයක් අසමත් වීමෙන් සමස්ත පරීක්ෂණයම අසමත් වේ. මීට අමතරව, මෙම එක් එක් පරීක්ෂණයෙහි අවම ප්‍රමිතීන් සපුරාලීමෙන් පමණක් ඔබට 75% ක සාමාර්ථයක් නොලැබෙන අතර ඕනෑම එක් අංගයක් අසමත් වීමෙන් සමස්ත පරීක්ෂණයම අසමත් වේ.",2010 දී යූඑස්ඒඑෆ් විසින් අනුගමනය කරන ලද වඩාත් දැඩි වැඩසටහන කුමක්ද?,Fit to Fight වැඩසටහන
9,5961,"Fit to Fight වැඩසටහන... අපනයනය සඳහා හොඳම ගමනාන්ත 3 වූයේ මෙක්සිකෝව, කැනඩාව සහ බ්‍රසීලයයි.",2012 දී හූස්ටන් ප්‍රදේශය අපනයනය කළේ ඩොලර් වලින් කොපමණ ද?,ඩොලර් බිලියන 110.3 කි
