,Unnamed: 0,context_translated,question_translated,text_translated,original_index
0,0, එවර්ටන් 1992 දී ප්‍රිමියර් ලීගයේ ආරම්භක සාමාජිකයන් වූ නමුත් නිවැරදි කළමනාකරු සොයා ගැනීමට මහත් පරිශ්‍රමයක් දැරීය. හොවාර්ඩ් කෙන්ඩල් 1990 දී ආපසු පැමිණ ඇති නමුත් ඔහුගේ පෙර සාර්ථකත්වය නැවත කිරීමට නොහැකි වූ අතර ඔහුගේ අනුප්‍රාප්තිකයා වූ මයික් වෝකර් සංඛ්‍යානමය වශයෙන් එවර්ටන් කළමණාකරු මේ දක්වා අඩුම සාර්ථකයා විය. 1994 දී හිටපු එවර්ටන් ක්‍රීඩක ජෝ රොයිල් වැඩ භාර ගන්නා විට සමාජයේ ස්වරූපය වැඩිදියුණු වීමට පටන් ගත්තේය. ඔහුගේ පළමු තරඟය භාරව සිටියේ ඩර්බි ප්‍රතිවාදීන් වන ලිවර්පූල්ට එරෙහිව ගෝල 2-0ක ජයක් ලබා ගනිමිනි. රොයිල් එවර්ටන්ව පිටුවහල් කිරීමකින් තොරව ඇදගෙන ගොස් ඉතිහාසයේ පස්වන වරටත් එෆ්.ඒ. එහි ඉතිහාසයේ මැන්චෙස්ටර් යුනයිටඩ් 1-0 ලෙස පරාජයට පත්විය.,හොවාර්ඩ් කෙන්ඩල් එවර්ටන් කළමනාකරණය සඳහා නැවත පැමිණියේ කුමන වසරේද?,1990,6000
1,1,1990... මෙයින් අදහස් කරන්නේ දේශීය නීතිය සමඟ ගැටුමකදී ජාත්‍යන්තර නීතිය සැමවිටම පවතින බවයි.,අභ්‍යන්තර නීතිය යටතේ නීත්‍යානුකූල වුව ද යම් නීතියක් යටතේ ක්‍රියාවක් හෝ එහි lack නතාවක් නීතිගත කළ නොහැකි ද?,ජාත්යන්තර නීතිය,6001
2,2,"සාම්ප්‍රදායික වාහකයන් මත 1950 දශකයේ මුල් භාගයේ සිට නෞකාවේ අක්ෂීය රේඛාවේ වරායට කෝණයකින් ගුවන් යානා නැවත ලබා ගැනීම සිරිතකි. මෙම කෝණික තට්ටුවේ මූලික කාර්යය වනුයේ අත් අඩංගුවට ගන්නා වයර් මග හැරෙන බෝල්ටර් ලෙස හඳුන්වන ගුවන් යානා ඉදිරියට නවතා ඇති ගුවන් යානාවලට පහර දීමේ අවදානමකින් තොරව නැවත ගුවන් ගත වීමට ඉඩ දීමයි. කෝණික තට්ටුව දුනු බළලුන් දෙදෙනාට අමතරව ""ඉණ"" කැටපෝල් එකක් හෝ දෙකක් ස්ථාපනය කිරීමට ඉඩ දෙයි. කෝණික තට්ටුවක් එකවර දියත් කිරීම සහ ගුවන් යානා යථා තත්ත්වයට පත් කිරීමේ විකල්පය සමඟ දියත් කිරීමේ සහ ප්‍රතිසාධන චක්‍රයේ නම්‍යශීලී බව වැඩි දියුණු කරයි. කෝණික තට්ටුවක් එකවර දියත් කිරීම සහ ගුවන් යානා යථා තත්ත්වයට පත් කිරීමේ විකල්පය සමඟ දියත් කිරීමේ සහ ප්‍රතිසාධන චක්‍රයේ නම්‍යශීලී බව වැඩි දියුණු කරයි.",කෝණික තට්ටුවක් එකවර දියත් කිරීම සහ ගුවන් යානා යථා තත්ත්වයට පත් කිරීමේ විකල්පය සමඟ දියත් කිරීමේ සහ ප්‍රතිසාධන චක්‍රයේ නම්‍යශීලී බව වැඩි දියුණු කරයි....,ඉදිරියට නවතා ඇති ගුවන් යානා වලට පහර දීම,6002
3,3,"1990 දශකයේ සහ නව සහස්‍රයේ දී, නගරය තුළ බලගතු හිප් හොප් කලාකරුවන් ගණනාවක් බිහි කර ඇති අතර, එමිනම්, ඉහළම සමුච්චිත විකුණුම් සහිත හිප-හොප් කලාකරුවා, හිප-හොප් නිෂ්පාදක ජේ ඩිලා, රැපර් සහ නිෂ්පාදක එෂාම් සහ හිප් හොප් යුගල පිස්සු ක්ලෝවුන් පොස්සේ. නගරය රැප් ක්‍රීඩකයින් වන බිග් ෂෝන් සහ ඩැනී බ්‍රවුන්ගේ නිවහනයි. කිඩ් රොක් සහ මාමා ක්‍රැකර් වැනි කලාකරුවන් සමඟ ස්පොන්ජ් සංගීත කණ්ඩායම සංචාරය කර සංගීතය නිෂ්පාදනය කළේය. වයිට් ස්ට්රයිප්ස්, ද වොන් බොන්ඩිස්, ඩෙට්‍රොයිට් කෝබ්රාස්, ද ඩර්ට්බෝම්බ, ඉලෙක්ට්‍රික් සික්ස් සහ ද හාර්ඩ් පාඩම් වැනි ක්‍රියා වලින් ජාතික අවධානය දිනාගත් ක්‍රියාකාරී ගරාජ් පාෂාණ ප්‍රභේදයක් ද නගරය සතුව ඇත. වයිට් ස්ට්රයිප්ස්, ද වොන් බොන්ඩිස්, ඩෙට්‍රොයිට් කෝබ්රාස්, ද ඩර්ට්බෝම්බ, ඉලෙක්ට්‍රික් සික්ස් සහ ද හාර්ඩ් පාඩම් වැනි ක්‍රියා වලින් ජාතික අවධානය දිනාගත් ක්‍රියාකාරී ගරාජ් පාෂාණ ප්‍රභේදයක් ද නගරය සතුව ඇත.",වයිට් ස්ට්රයිප්ස් ගැලපෙන්නේ කුමන ප්‍රභේදයටද?,ගරාජ් පාෂාණය,6003
4,4,ගරාජ් පාෂාණය ගරාජ් පාෂාණය,පැළඳ සිටින වඩාත් ජනප්‍රිය හිස් ඇඳුම කුමක්ද?,බෙරෙට්,6004
5,5,"බෙරෙට් කෙසේ වෙතත්, විලුඹ ශූරයින් බොහෝ විට වාසි සොයා ගන්නේ ශූරයාගේ වාසිය සඳහා නොව, ආයුධ භාවිතා කිරීම සහ බාහිර ඇඟිලි ගැසීම් වලදී ය.",මල්ලවපොර ක්‍රීඩකයෙකුට එරෙහිව වැටීමක් ඇති වූ විට කුමක් සිදුවේද?,තරඟයෙන් ඉවත් කරනු ලැබේ,6005
6,6,"දිවා ආලෝකය ඉතිරි කිරීමේ වේලාව (ඩීඑස්ටී) හෝ ගිම්හාන කාලය යනු ගිම්හාන මාසවලදී ඔරලෝසු පැයකින් පැයට වැඩි දියුණු කිරීමයි. එවිට සවස් වරුවේ දිවා ආලෝකය පැයකට වැඩි කාලයක් අත්විඳිය හැකි අතර සාමාන්‍ය හිරු උදාවන කාලය කැප කරයි. සාමාන්‍යයෙන්, ගිම්හාන කාලය ඇති ප්‍රදේශ වසන්තයේ ආරම්භයට ආසන්නව පැයක් පමණ ඔරලෝසු සකස් කර සරත් සෘතුවේ දී සම්මත වේලාවට පසුපසට සකස් කරයි. සාමාන්‍යයෙන්, ගිම්හාන කාලය ඇති ප්‍රදේශ වසන්තයේ ආරම්භයට ආසන්නව පැයක් පමණ ඔරලෝසු සකස් කර සරත් සෘතුවේ දී සම්මත වේලාවට පසුපසට සකස් කරයි.",අපි ඔරලෝසු ඉදිරියට තැබූ නිසා අපට අමතර පැයක් ලැබෙන්නේ කුමක් ද?,දිවා ආලෝකය,6006
7,7,"දිවා ආලෝකය... දූපත් උසාවි සහ ඉඩම් අධිකරණ අටක් ඇත; ඉඩම් ආරවුල් සම්බන්ධයෙන් අභියාචනා ඉඩම් අධිකරණ අභියාචනා මණ්ඩලයට ඉදිරිපත් කරනු ලැබේ. අයිලන්ඩ් උසාවි සහ ඉඩම් උසාවිවල අභියාචනා මහේස්ත්‍රාත් අධිකරණය වෙත ඉදිරිපත් කරනු ලැබේ. ඩොලර් 10,000 ක් දක්වා වූ සිවිල් නඩු විභාග කිරීමට අධිකරණ බලය ඇත. ටුවාලු හි නීතිය තීරණය කිරීම සහ පහළ උසාවිවලින් අභියාචනා විභාග කිරීම සඳහා අසීමිත මුල් අධිකරණ බලයක් ඇති බැවින් සුපිරි අධිකරණය ටුවාලු මහාධිකරණය වේ. ශ්‍රීමත් ගෝර්ඩන් වෝඩ් යනු ටුවාලු හි වත්මන් අගවිනිසුරු ය. මහාධිකරණයේ තීන්දු තුවාළු අභියාචනාධිකරණයට අභියාචනා කළ හැකිය. අභියාචනාධිකරණයෙන් ඇයගේ කවුන්සිලයේ අභියාචනයට අයිතියක් ඇත, එනම් ලන්ඩනයේ ප්‍රිවි කවුන්සිලය.",ටුවාලුහි උසස් උසාවියේ නම කුමක්ද?,ටුවාලු මහාධිකරණය,6007
8,8,"මෙන්ඩිස් සිටි ස්ථානයේ සිටියදී ලන්ඩනයේ නගර ශාලාවේ කෙටි රූගත කිරීමක් 2015 අප්‍රේල් 18 වන දින රූගත කරන ලදී. 2015 මැයි 17 වන දින ලන්ඩනයේ තේම්ස් නුවරදී රූගත කිරීම් සිදු විය. වේග බෝට්ටුවක ක්‍රේග් සහ සෙඩොක්ස් සම්බන්ධ වෙළුම් දර්ශන මෙන්ම වෙස්ට්මිනිස්ටර් පාලම අසල අඩු පියාසර හෙලිකොප්ටරයක් රාත්‍රියේදී රූගත කරන ලද අතර, රූගත කිරීම් වෙස්ට්මිනිස්ටර් සහ ලැම්බෙට් පාලම් දෙකම තාවකාලිකව වසා දැමීය. වොක්ෂෝල් ක්‍රොස් හි එම්අයි 6 මූලස්ථානය අසල ගඟට ද දර්ශන රූගත කරන ලදී. වෙස්ට්මිනිස්ටර් පාලම මත තනන ලද චිත්‍රපට දර්ශන සඳහා කාර්ය මණ්ඩලය සතියකටත් අඩු කාලයකට පසු නැවත ගඟට පැමිණියහ. ලන්ඩන් ගිනි නිවීමේ ඒකකය වර්ෂාව අනුකරණය කිරීමට මෙන්ම රූගත කිරීම් සඳහා භාවිතා කරන දුමාරය නිරීක්ෂණය කිරීමට ද සූදානම් විය. ක්‍රේග්, සෙඩොක්ස් සහ වෝල්ට්ස් මෙන්ම හැරිස් සහ ෆියෙනස් ද රූගත කරමින් සිටියහ. මෙයට පෙර, ෆියෙනස් සම්බන්ධ දර්ශන කොවන්ට් උද්‍යානයේ අවන්හලක රූගත කරන ලදී. රූගත කිරීම් පසුව ට්‍රැෆල්ගර් චතුරශ්‍රයේ සිදු විය. ජුනි මස මුලදී, කාර්ය මණ්ඩලය මෙන්ම ක්‍රේග්, සෙඩොක්ස් සහ වෝල්ට්ස් ද තේම්ස් නුවරට පැමිණියේ අවසන් වරට ගඟට වෙඩි තැබූ දර්ශන රූගත කිරීම සඳහා ය. මෙන්ඩිස් සිටි ස්ථානයේ සිටියදී ලන්ඩනයේ නගර ශාලාවේ කෙටි රූගත කිරීමක් 2015 අප්‍රේල් 18 වන දින රූගත කරන ලදී. 2015 මැයි 17 වන දින ලන්ඩනයේ තේම්ස් නුවරදී රූගත කිරීම් සිදු විය. වේග බෝට්ටුවක ක්‍රේග් සහ සෙඩොක්ස් සම්බන්ධ වෙළුම් දර්ශන මෙන්ම වෙස්ට්මිනිස්ටර් පාලම අසල අඩු පියාසර හෙලිකොප්ටරයක් රාත්‍රියේදී රූගත කරන ලද අතර, රූගත කිරීම් වෙස්ට්මිනිස්ටර් සහ ලැම්බෙට් පාලම් දෙකම තාවකාලිකව වසා දැමීය. වොක්ෂෝල් ක්‍රොස් හි එම්අයි 6 මූලස්ථානය අසල ගඟට ද දර්ශන රූගත කරන ලදී. වෙස්ට්මිනිස්ටර් පාලම මත තනන ලද චිත්‍රපට දර්ශන සඳහා කාර්ය මණ්ඩලය සතියකටත් අඩු කාලයකට පසු නැවත ගඟට පැමිණියහ. ලන්ඩන් ගිනි නිවීමේ ඒකකය වර්ෂාව අනුකරණය කිරීමට මෙන්ම රූගත කිරීම් සඳහා භාවිතා කරන දුමාරය නිරීක්ෂණය කිරීමට ද සූදානම් විය. ක්‍රේග්, සෙඩොක්ස් සහ වෝල්ට්ස් මෙන්ම හැරිස් සහ ෆියෙනස් ද රූගත කරමින් සිටියහ. මෙයට පෙර, ෆියෙනස් සම්බන්ධ දර්ශන කොවන්ට් උද්‍යානයේ අවන්හලක රූගත කරන ලදී. රූගත කිරීම් පසුව ට්‍රැෆල්ගර් චතුරශ්‍රයේ සිදු විය. ජුනි මස මුලදී, කාර්ය මණ්ඩලය මෙන්ම ක්‍රේග්, සෙඩොක්ස් සහ වෝල්ට්ස් ද තේම්ස් නුවරට පැමිණියේ අවසන් වරට ගඟට වෙඩි තැබූ දර්ශන රූගත කිරීම සඳහා ය.",කාලගුණික බලපෑම් සඳහා ජලය සැපයූ සංවිධානය කුමක්ද?,ලන්ඩන් ගිනි නිවීමේ ඒකකය,6008
9,9,"සාමාන්‍යයෙන් විවෘත වෙළඳපොල මෙහෙයුම් වල කෙටිකාලීන ඉලක්කය වන්නේ නිශ්චිත කෙටිකාලීන පොලී අනුපාත ඉලක්කයක් සපුරා ගැනීමයි. වෙනත් අවස්ථාවල දී, මූල්‍ය ප්‍රතිපත්තිය වෙනුවට සමහර විදේශ මුදල් වලට සාපේක්ෂව නිශ්චිත විනිමය අනුපාතයක් ඉලක්ක කිරීමට හෝ වෙනත් ආකාරයකින් රත්‍රන්වලට සාපේක්ෂව විය හැකිය. උදාහරණයක් ලෙස, එක්සත් ජනපදය සම්බන්ධයෙන් ගත් කල, ෆෙඩරල් සංචිතය ෆෙඩරල් අරමුදල් අනුපාතය ඉලක්ක කරයි, සාමාජික බැංකු එක රැයකින් එකිනෙකාට ණය දෙන අනුපාතය. මුදල් ප්‍රතිපත්තිය පැවැත්වීමේ අනෙක් ප්‍රාථමික මාධ්‍යයන් අතර: (i) වට්ටම් කවුළු ණය දීම (අවසාන වරට ණය දෙන්නා ලෙස); (ii) භාගික තැන්පතු ණය දීම (සංචිත අවශ්‍යතාවයේ වෙනස්වීම්); ; (iv) “විවෘත මුඛ මෙහෙයුම්” (වෙළඳපොළ සමඟ මූල්‍ය ප්‍රතිපත්තිය කතා කිරීම). මුදල් ප්‍රතිපත්තිය පැවැත්වීමේ අනෙක් ප්‍රාථමික මාධ්‍යයන් අතර: (i) වට්ටම් කවුළු ණය දීම (අවසාන වරට ණය දෙන්නා ලෙස); (ii) භාගික තැන්පතු ණය දීම (සංචිත අවශ්‍යතාවයේ වෙනස්වීම්); ; (iv) “විවෘත මුඛ මෙහෙයුම්” (වෙළඳපොළ සමඟ මූල්‍ය ප්‍රතිපත්තිය කතා කිරීම).",ෆෙඩරල් අරමුදල් අනුපාතය කුමක්ද?,සාමාජික බැංකු එක රැයකින් එකිනෙකාට ණය දෙන අනුපාතය,6009
