context,question,text,original_index
"Critics such as economist Paul Krugman and U.S. Treasury Secretary Timothy Geithner have argued that the regulatory framework did not keep pace with financial innovation, such as the increasing importance of the shadow banking system, derivatives and off-balance sheet financing. A recent OECD study suggest that bank regulation based on the Basel accords encourage unconventional business practices and contributed to or even reinforced the financial crisis. In other cases, laws were changed or enforcement weakened in parts of the financial system. Key examples include:",Which group's study suggested that Basel accords encourage unconventional business practices?,OECD,1951
"In the generations after emigration from the west, Jewish communities in places like Poland, Russia, and Belarus enjoyed a comparatively stable socio-political environment. A thriving publishing industry and the printing of hundreds of biblical commentaries precipitated the development of the Hasidic movement as well as major Jewish academic centers. After two centuries of comparative tolerance in the new nations, massive westward emigration occurred in the 19th and 20th centuries in response to pogroms in the east and the economic opportunities offered in other parts of the world. Ashkenazi Jews have made up the majority of the American Jewish community since 1750.",Ashkenazi Jews have made up the majority of the American Jewish community since when?,1750,1952
"Edgar took the first turn at school, and Dwight was employed as a night supervisor at the Belle Springs Creamery. Edgar asked for a second year, Dwight consented and worked for a second year. At that time, a friend ""Swede"" Hazlet was applying to the Naval Academy and urged Dwight to apply to the school, since no tuition was required. Eisenhower requested consideration for either Annapolis or West Point with his U.S. Senator, Joseph L. Bristow. Though Eisenhower was among the winners of the entrance-exam competition, he was beyond the age limit for the Naval Academy. He then accepted an appointment to West Point in 1911.",What was Eisenhower's job title during the first year his brother went to college?,night supervisor,1969
"In the United States, the term ""the 51st state"" when applied to Canada can serve to highlight the similarities and close relationship between the United States and Canada. Sometimes the term is used disparagingly, intended to deride Canada as an unimportant neighbor. In the Quebec general election, 1989, the political party Parti 51 ran 11 candidates on a platform of Quebec seceding from Canada to join the United States (with its leader, André Perron, claiming Quebec could not survive as an independent nation). The party attracted just 3,846 votes across the province, 0.11% of the total votes cast. In comparison, the other parties in favour of sovereignty of Quebec in that election got 40.16% (PQ) and 1.22% (NPDQ).",What did the other parties receive that year?,40.16% (PQ) and 1.22% (NPDQ),2986
"By the end of the early modern period, the structure and orientation of higher education had changed in ways that are eminently recognizable for the modern context. Aristotle was no longer a force providing the epistemological and methodological focus for universities and a more mechanistic orientation was emerging. The hierarchical place of theological knowledge had for the most part been displaced and the humanities had become a fixture, and a new openness was beginning to take hold in the construction and dissemination of knowledge that were to become imperative for the formation of the modern state.",At the end of what period would universities become alike to contemporary universities?,the end of the early modern period,2993
"Poetry, in particular, was a staple of court life. Nobles and ladies-in-waiting were expected to be well versed in the art of writing poetry as a mark of their status. Every occasion could call for the writing of a verse, from the birth of a child to the coronation of an emperor, or even a pretty scene of nature. A well-written poem or haiku could easily make or break one's reputation, and often was a key part of social interaction.Almost as important was the choice of calligraphy, or handwriting, used. The Japanese of this period believed handwriting could reflect the condition of a person's soul: therefore, poor or hasty writing could be considered a sign of poor breeding. Whether the script was Chinese or Japanese, good writing and artistic skill was paramount to social reputation when it came to poetry. Sei Shonagon mentions in her Pillow Book that when a certain courtesan tried to ask her advice about how to write a poem to the empress Sadako, she had to politely rebuke him because his writing was so poor.",What artform became a mark of status in the courts?,poetry,2994
"Twilight Princess takes place several centuries after Ocarina of Time and Majora's Mask, and begins with a youth named Link who is working as a ranch hand in Ordon Village. One day, the village is attacked by Bulblins, who carry off the village's children with Link in pursuit before he encounters a wall of Twilight. A Shadow Beast pulls him beyond the wall into the Realm of Twilight, where he is transformed into a wolf and imprisoned. Link is soon freed by an imp-like Twilight being named Midna, who dislikes Link but agrees to help him if he obeys her unconditionally. She guides him to Princess Zelda. Zelda explains that Zant, the King of the Twilight, has stolen the light from three of the four Light Spirits and conquered Hyrule. In order to save Hyrule, Link must first restore the Light Spirits by entering the Twilight-covered areas and, as a wolf, recover the Spirits' lost light. He must do this by collecting the multiple ""Tears of Light""; once all the Tears of Light are collected for one area, he restores that area's Light Spirit. As he restores them, the Light Spirits return Link to his Hylian form.",Where is Link working as a ranch hand?,Ordon Village,3000
"Biodiversity provides critical support for drug discovery and the availability of medicinal resources. A significant proportion of drugs are derived, directly or indirectly, from biological sources: at least 50% of the pharmaceutical compounds on the US market are derived from plants, animals, and micro-organisms, while about 80% of the world population depends on medicines from nature (used in either modern or traditional medical practice) for primary healthcare. Only a tiny fraction of wild species has been investigated for medical potential. Biodiversity has been critical to advances throughout the field of bionics. Evidence from market analysis and biodiversity science indicates that the decline in output from the pharmaceutical sector since the mid-1980s can be attributed to a move away from natural product exploration (""bioprospecting"") in favor of genomics and synthetic chemistry, indeed claims about the value of undiscovered pharmaceuticals may not provide enough incentive for companies in free markets to search for them because of the high cost of development; meanwhile, natural products have a long history of supporting significant economic and health innovation. Marine ecosystems are particularly important, although inappropriate bioprospecting can increase biodiversity loss, as well as violating the laws of the communities and states from which the resources are taken.",What provides critical support for drug discovery and the availability of medicinal resources?,Biodiversity,3045
"In September 1939, Britain and the self-governing Dominions, but not Ireland, declared war on Nazi Germany. George VI and his wife resolved to stay in London, despite German bombing raids. They officially stayed in Buckingham Palace throughout the war, although they usually spent nights at Windsor Castle. The first German raid on London, on 7 September 1940, killed about one thousand civilians, mostly in the East End. On 13 September, the King and Queen narrowly avoided death when two German bombs exploded in a courtyard at Buckingham Palace while they were there. In defiance, the Queen famously declared: ""I am glad we have been bombed. It makes me feel we can look the East End in the face"". The royal family were portrayed as sharing the same dangers and deprivations as the rest of the country. They were subject to rationing restrictions, and U.S. First Lady Eleanor Roosevelt remarked on the rationed food served and the limited bathwater that was permitted during a stay at the unheated and boarded-up Palace. In August 1942, the King's brother, Prince George, Duke of Kent, was killed on active service.",Against who did Britain declare war against in 1939?,Nazi Germany,3122
"The religion's failure to report abuse allegations to authorities has also been criticized. The Watch Tower Society's policy is that elders inform authorities when required by law to do so, but otherwise leave that action up to the victim and his or her family. The Australian Royal Commission into Institutional Responses to Child Sexual Abuse found that of 1006 alleged perpetrators of child sexual abuse identified by the Jehovah's Witnesses within their organization since 1950, ""not one was reported by the church to secular authorities."" William Bowen, a former Jehovah's Witness elder who established the Silentlambs organization to assist sex abuse victims within the religion, has claimed Witness leaders discourage followers from reporting incidents of sexual misconduct to authorities, and other critics claim the organization is reluctant to alert authorities in order to protect its ""crime-free"" reputation. In court cases in the United Kingdom and the United States the Watch Tower Society has been found to have been negligent in its failure to protect children from known sex offenders within the congregation and the Society has settled other child abuse lawsuits out of court, reportedly paying as much as $780,000 to one plaintiff without admitting wrongdoing.",Why are the Jehovah's Witnesses reluctant to alert authorities to abuse?,"to protect its ""crime-free"" reputation",3126
